Voltage,Current,Power
0.0,13.71,0.0
5.0,13.71,68.55000000000001
10.0,13.71,137.10000000000002
15.0,13.71,205.65
20.0,13.71,274.20000000000005
25.0,13.71,342.75
30.0,13.71,411.3
33.378181818181815,13.72,457.94865454545453
33.876363636363635,13.72,464.7837090909091
34.374545454545455,13.72,471.61876363636367
34.872727272727275,13.71,478.10509090909096
35.37090909090909,13.7,484.58145454545445
35.86909090909091,13.69,491.0478545454545
36.36727272727273,13.68,497.5042909090909
36.86545454545455,13.67,503.95076363636366
37.36363636363636,13.65,510.01363636363635
37.86181818181818,13.62,515.6779636363635
38.36,13.54,519.3943999999999
38.85818181818182,13.42,521.4768
39.35636363636363,13.25,521.4718181818181
39.85454545454545,13.03,519.3047272727272
40.35272727272727,12.77,515.3043272727273
40.85090909090909,12.46,509.0023272727273
41.34909090909091,12.1,500.324
41.847272727272724,11.7,489.61309090909083
42.345454545454544,11.24,475.9629090909091
42.843636363636364,10.75,460.5690909090909
43.341818181818184,10.2,442.08654545454544
43.839999999999996,9.61,421.3023999999999
44.338181818181816,8.97,397.7134909090909
44.836363636363636,8.28,371.2450909090909
45.334545454545456,7.55,342.2758181818182
45.83272727272727,6.77,310.2875636363636
46.33090909090909,5.94,275.2056
46.82909090909091,5.07,237.42349090909093
47.32727272727273,4.15,196.40818181818184
47.82545454545455,3.18,152.08494545454548
48.32363636363636,2.17,104.8622909090909
48.82181818181818,1.11,54.192218181818184
49.32,0.0,0.0
